date,merchant,amount,category,chase_description,notes
2025-06-25,Zoom,165.7,Software,ZOOM.COM 888-799-966 San Jose CA,"On Chase, not claimed"
2025-04-01,DANTE,163.67,Meals,TST*DANTE - MACDOUGAL ST New York NY,"On Chase, not claimed"
2025-09-04,Apple,163.3,Equipment,APPLE.COM/BILL 866-712-7753 CA,"On Chase, not claimed"
2025-11-12,Apple,163.3,Equipment,APPLE.COM/BILL 866-712-7753 CA,"On Chase, not claimed"
2025-11-15,Apple,163.3,Equipment,APPLE.COM/BILL 866-712-7753 CA,"On Chase, not claimed"
2025-04-07,PALETTE,163.06,Meals,TST*PALETTE TEA HOUSE San Francisco CA,"On Chase, not claimed"
2025-07-23,Amazon,156.23,Equipment,AMAZON MKTPL*R85XC1MX3 Amzn.com/bill WA,"On Chase, not claimed"
2025-03-21,BALTHAZAR RESTAURANT NEW YORK NY,152.07,Meals,BALTHAZAR RESTAURANT NEW YORK NY,"On Chase, not claimed"
2025-09-30,Amazon,151.34,Equipment,AMAZON PRIME*NJ89268F1 Amzn.com/bill WA,"On Chase, not claimed"
2025-06-25,HOTELTONIGHT*THE CATRI 800-208-2949 CA,149.0,Travel,HOTELTONIGHT*THE CATRI 800-208-2949 CA,"On Chase, not claimed"
2025-02-12,Amazon,144.7,Equipment,AMAZON MKTPL*HV7C39QQ3 Amzn.com/bill WA,"On Chase, not claimed"
2025-01-07,DoorDash,143.1,Meals,DD *DOORDASH COUPACAFE 855-431-0459 CA,"On Chase, not claimed"
2025-05-19,TERUN,140.35,Meals,TST*TERUN PIZZA - PALO A Palo Alto CA,"On Chase, not claimed"
2025-11-15,COMMITTEE,138.75,Meals,TST*COMMITTEE - BOSTON Boston MA,"On Chase, not claimed"
2025-01-10,DoorDash,137.1,Meals,DD *DOORDASH ELSINALOE WWW.DOORDASH. CA,"On Chase, not claimed"
2025-08-03,Lyft,135.38,Travel,LYFT *2 RIDES 08-01 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-04-30,SCHROEDERS,130.05,Meals,TST*SCHROEDERS RESTAURA San Francisco CA,"On Chase, not claimed"
2025-03-27,TAISHOKEN,128.33,Meals,TST*TAISHOKEN RAMEN - SA San Mateo CA,"On Chase, not claimed"
2025-05-12,JOY SUSHI.. SAN MATEO CA,113.1,Meals,JOY SUSHI.. SAN MATEO CA,"On Chase, not claimed"
2025-10-14,Amazon,109.61,Equipment,AMAZON MKTPL*NF3XW3922 Amzn.com/bill WA,"On Chase, not claimed"
2025-10-23,TOO,109.11,Meals,TST*TOO HOT Cambridge MA,"On Chase, not claimed"
2025-09-11,Apple,108.86,Equipment,APPLE.COM/BILL 866-712-7753 CA,"On Chase, not claimed"
2025-10-03,Apple,108.86,Equipment,APPLE.COM/BILL 866-712-7753 CA,"On Chase, not claimed"
2025-08-09,Amazon,108.82,Equipment,AMAZON MKTPL*G43A63PF3 Amzn.com/bill WA,"On Chase, not claimed"
2025-03-22,Lyft,108.33,Travel,LYFT *MEMB ANNUAL HELP.LYFT.COM CA,"On Chase, not claimed"
2025-05-31,TWELVEMONTH,107.59,Meals,TST*TWELVEMONTH Burlingame CA,"On Chase, not claimed"
2025-03-25,DoorDash,105.56,Meals,DD *DOORDASH ELSINALOE 855-431-0459 CA,"On Chase, not claimed"
2025-11-01,SUMIAO,102.87,Meals,TST*SUMIAO XIANG RESTAUR Cambridge MA,"On Chase, not claimed"
2025-04-28,Lyft,101.16,Travel,LYFT *4 RIDES 04-25 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-04-24,Zoom,100.76,Software,ZOOM.COM 888-799-966 San Jose CA,"On Chase, not claimed"
2025-04-24,Zoom,100.75,Software,ZOOM.COM 888-799-966 San Jose CA,"On Chase, not claimed"
2025-02-26,DoorDash,99.08,Meals,DD *DOORDASH HUNANMIFE 855-431-0459 CA,"On Chase, not claimed"
2025-01-24,MENSHO,96.48,Meals,TST*MENSHO - GEARY San Francisco CA,"On Chase, not claimed"
2025-06-07,COPAL,95.79,Meals,TST*COPAL - SANTA CRUZ Santa Cruz CA,"On Chase, not claimed"
2025-07-09,,95.26,Meals,TST* KAJIKEN SAN MATEO CA,"On Chase, not claimed"
2025-01-23,DOPPIO,93.53,Meals,TST*DOPPIO ZERO - SAN CA San Carlos CA,"On Chase, not claimed"
2025-08-28,,93.43,Meals,TST* ACADIA NEW YORK NY,"On Chase, not claimed"
2025-06-21,,90.2,Meals,TST* PANORAMA PIZZA PUB HEALY AK,"On Chase, not claimed"
2025-03-17,DoorDash,87.78,Meals,DD *DOORDASH WALGREENS 855-431-0459 CA,"On Chase, not claimed"
2025-07-24,Apple,87.34,Equipment,APPLE KOREA LIMITED SEOUL,"On Chase, not claimed"
2025-04-13,Amazon,87.09,Equipment,AMAZON MKTPL*3R4PZ7QD3 Amzn.com/bill WA,"On Chase, not claimed"
2025-07-23,Amazon,87.09,Equipment,AMAZON MKTPL*9D09Z6TM3 Amzn.com/bill WA,"On Chase, not claimed"
2025-04-16,DOPPIO,86.7,Meals,TST*DOPPIO ZERO - SAN CA San Carlos CA,"On Chase, not claimed"
2025-08-28,Amazon.com*OM64A9NO3 Amzn.com/bill WA,86.01,Equipment,Amazon.com*OM64A9NO3 Amzn.com/bill WA,"On Chase, not claimed"
2025-05-21,BUCKS,85.39,Meals,TST*BUCKS OF WOODSIDE Woodside CA,"On Chase, not claimed"
2025-01-21,CHEZ,84.69,Meals,TST*CHEZ MAMAN - EAST San Francisco CA,"On Chase, not claimed"
2025-11-15,,83.82,Meals,TST* FLIGHT CLUB - BOSTON BOSTON MA,"On Chase, not claimed"
2025-04-09,THE,83.37,Meals,TST*THE REFUGE - SAN CAR San Carlos CA,"On Chase, not claimed"
2025-02-03,Amazon,83.28,Equipment,AMAZON MKTPL*ZO5978E93 Amzn.com/bill WA,"On Chase, not claimed"
2025-05-10,LEXPRESS,83.0,Meals,TST*LEXPRESS New York NY,"On Chase, not claimed"
2025-07-20,Lyft,82.54,Travel,LYFT *1 RIDE 07-18 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-10-14,Amazon,81.87,Equipment,AMAZON MKTPL*NF0AA3RP2 Amzn.com/bill WA,"On Chase, not claimed"
2025-06-09,,81.52,Meals,TST* DIN TAI FUNG - VALLE SANTA CLARA CA,"On Chase, not claimed"
2025-01-30,DoorDash,78.89,Meals,DD *DOORDASH HUMMUSMED 855-431-0459 CA,"On Chase, not claimed"
2025-01-19,SQ *SQUARE DINER New York NY,76.68,Meals,SQ *SQUARE DINER New York NY,"On Chase, not claimed"
2025-01-13,Amazon.com*Z52EO5IM2 Amzn.com/bill WA,76.17,Equipment,Amazon.com*Z52EO5IM2 Amzn.com/bill WA,"On Chase, not claimed"
2025-10-19,PP*DOORDASH CVS 855-973-1040 CA,75.98,Meals,PP*DOORDASH CVS 855-973-1040 CA,"On Chase, not claimed"
2025-02-11,DoorDash,73.15,Meals,DD *DOORDASH MYDUMPLIN 855-431-0459 CA,"On Chase, not claimed"
2025-03-06,DoorDash,71.68,Meals,DD *DOORDASH CUBANKITC 855-431-0459 CA,"On Chase, not claimed"
2025-06-18,,70.58,Meals,TST* KAJIKEN SAN MATEO CA,"On Chase, not claimed"
2025-01-21,DoorDash,70.36,Meals,DD *DOORDASH MYDUMPLIN 855-431-0459 CA,"On Chase, not claimed"
2025-04-13,DoorDash,70.31,Meals,DD *DOORDASH GINGERAND 855-431-0459 CA,"On Chase, not claimed"
2025-11-03,SPRING,70.04,Meals,TST*SPRING SHABU-SHABU B Brighton MA,"On Chase, not claimed"
2025-07-12,Lyft,69.49,Travel,LYFT *2 RIDES 07-10 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-11-02,TOO,69.31,Meals,TST*TOO HOT Cambridge MA,"On Chase, not claimed"
2025-08-31,LA,69.24,Meals,TST*LA DONG New York NY,"On Chase, not claimed"
2025-09-20,DINOSAUR,67.66,Meals,TST*DINOSAUR BAR-B-QUE - New York NY,"On Chase, not claimed"
2025-03-23,DAEHO,67.4,Meals,TST*DAEHO KALBIJJIM - SA San Mateo CA,"On Chase, not claimed"
2025-08-22,Zoom,66.88,Software,ZOOM.COM 888-799-966 San Jose CA,"On Chase, not claimed"
2025-05-31,DOPPIO,66.15,Meals,TST*DOPPIO ZERO - SAN CA San Carlos CA,"On Chase, not claimed"
2025-01-15,Amazon.com*ZG2US2PN2 Amzn.com/bill WA,65.31,Equipment,Amazon.com*ZG2US2PN2 Amzn.com/bill WA,"On Chase, not claimed"
2025-01-16,HAMBURGER,65.04,Meals,TST*HAMBURGER AMERICA New York NY,"On Chase, not claimed"
2025-01-12,BEDFORD,64.08,Meals,TST*BEDFORD GARDENS Brooklyn NY,"On Chase, not claimed"
2025-01-17,Amazon.com*ZG8F44832 Amzn.com/bill WA,62.69,Equipment,Amazon.com*ZG8F44832 Amzn.com/bill WA,"On Chase, not claimed"
2025-10-11,SOUTH,62.65,Meals,TST*SOUTH OF THE CLOUDS New York NY,"On Chase, not claimed"
2025-02-28,DoorDash,61.61,Meals,DD *DOORDASH RISEWOODF 855-431-0459 CA,"On Chase, not claimed"
2025-02-27,DoorDash,61.31,Meals,DD *DOORDASH ELSINALOE 855-431-0459 CA,"On Chase, not claimed"
2025-10-31,BOSTON,60.6,Meals,TST*BOSTON RAMEN Cambridge MA,"On Chase, not claimed"
2025-05-23,DoorDash,60.07,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-07-18,GOTHAM,58.79,Meals,TST*GOTHAM BURGER NYC New York NY,"On Chase, not claimed"
2025-06-28,,57.99,Meals,TST* MALA PROJECT - GREEN BROOKLYN NY,"On Chase, not claimed"
2025-10-21,DoorDash,57.48,Meals,DD *DOORDASH CVS DOORDASH.COM CA,"On Chase, not claimed"
2025-01-24,DoorDash,57.04,Meals,DD *DOORDASH POKEHOUSE 855-431-0459 CA,"On Chase, not claimed"
2025-02-27,DoorDash,55.44,Meals,DD *DOORDASH MYUNGDONG 855-431-0459 CA,"On Chase, not claimed"
2025-09-12,Zoom,54.23,Software,ZOOM.COM 888-799-966 San Jose CA,"On Chase, not claimed"
2025-05-10,JACKS,54.13,Meals,TST*JACKS WIFE FREDA - New York NY,"On Chase, not claimed"
2025-11-14,,54.01,Meals,TST* GRENDEL'S DEN RESTAU CAMBRIDGE MA,"On Chase, not claimed"
2025-02-26,,53.75,Meals,TST* BLIND TASTING BEER & SAN CARLOS CA,"On Chase, not claimed"
2025-04-01,,53.34,Meals,TST* DOUGH ZONE - SAN MAT SAN MATEO CA,"On Chase, not claimed"
2025-03-17,DoorDash,53.23,Meals,DD *DOORDASH SAMWOOJUN 855-431-0459 CA,"On Chase, not claimed"
2025-05-13,FARMHOUSE,53.15,Meals,TST*FARMHOUSE KITCHEN TH San Francisco CA,"On Chase, not claimed"
2025-10-25,MR,53.01,Meals,TST*MR BARTLEYS BURGER Cambridge MA,"On Chase, not claimed"
2025-04-22,,52.84,Meals,TST* MALA PROJECT - EAST NEW YORK NY,"On Chase, not claimed"
2025-02-08,Amazon,52.24,Equipment,AMAZON MKTPL*7Y8SR1U43 Amzn.com/bill WA,"On Chase, not claimed"
2025-06-26,DoorDash,52.04,Meals,DD *DOORDASH SAIGONSHA 855-431-0459 CA,"On Chase, not claimed"
2025-03-15,DoorDash,50.11,Meals,DD *DOORDASH SAMWOOJUN 855-431-0459 CA,"On Chase, not claimed"
2025-06-11,DoorDash,50.05,Meals,DD *DOORDASH NANXIANGS 855-431-0459 CA,"On Chase, not claimed"
2025-04-28,RSA CONFERENCE LLC 415-7072833 CA,50.0,Meals,RSA CONFERENCE LLC 415-7072833 CA,"On Chase, not claimed"
2025-08-27,Lyft,49.97,Travel,LYFT *1 RIDE 08-25 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-09-02,Uber,49.96,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-08-11,Uber,49.53,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-07-23,Amazon,48.98,Equipment,AMAZON MKTPL*X84MI2UY3 Amzn.com/bill WA,"On Chase, not claimed"
2025-07-29,DoorDash,48.68,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-04-25,DoorDash,47.54,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-11-03,,46.81,Meals,TST* TATTE BAKERY - HARVA CAMBRIDGE MA,"On Chase, not claimed"
2025-07-12,HAMBURGER,46.73,Meals,TST*HAMBURGER AMERICA New York NY,"On Chase, not claimed"
2025-10-02,Uber,45.98,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-07-08,MENSHO,45.67,Meals,TST*MENSHO - GEARY San Francisco CA,"On Chase, not claimed"
2025-09-14,Uber,45.34,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-05-06,DoorDash,45.33,Meals,DD *DOORDASH CHODANGGO 855-431-0459 CA,"On Chase, not claimed"
2025-01-29,IMPASTO,45.29,Meals,TST*IMPASTO San Carlos CA,"On Chase, not claimed"
2025-07-19,DoorDash,45.24,Meals,DD *DOORDASH SAIGONSHA 855-431-0459 CA,"On Chase, not claimed"
2025-02-11,Amazon.com*7E49C4QR3 Amzn.com/bill WA,45.0,Equipment,Amazon.com*7E49C4QR3 Amzn.com/bill WA,"On Chase, not claimed"
2025-06-15,DoorDash,44.3,Meals,DD *DOORDASH HANDYNAST 855-431-0459 CA,"On Chase, not claimed"
2025-05-31,,44.09,Meals,TST* BARRELHOUSE BURLINGA BURLINGAME CA,"On Chase, not claimed"
2025-08-20,Lyft,43.88,Travel,LYFT *2 RIDES 08-18 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-10-26,Blink amzn.com/bill WA,43.54,Equipment,Blink amzn.com/bill WA,"On Chase, not claimed"
2025-05-17,DoorDash,43.18,Meals,DD *DOORDASH LADONG 855-431-0459 CA,"On Chase, not claimed"
2025-10-16,DoorDash,43.1,Meals,DD *DOORDASHWEGMANS 855-431-0459 CA,"On Chase, not claimed"
2025-06-07,FIRST,43.05,Meals,TST*FIRST AWAKENINGS - P Monterey CA,"On Chase, not claimed"
2025-07-13,SQ *STUMPTOWN COFFEE ROAS New York NY,43.0,Meals,SQ *STUMPTOWN COFFEE ROAS New York NY,"On Chase, not claimed"
2025-04-04,DoorDash,42.6,Meals,DD *DOORDASH TARGET DOORDASH.COM CA,"On Chase, not claimed"
2025-08-23,Lyft,42.31,Travel,LYFT *1 RIDE 08-21 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-08-14,NOLA,41.43,Meals,TST*NOLA - PALO ALTO 650-328-2722 CA,"On Chase, not claimed"
2025-07-02,DoorDash,41.35,Meals,DD *DOORDASH GOURMETGA 855-431-0459 CA,"On Chase, not claimed"
2025-02-19,DoorDash,41.11,Meals,DD *DOORDASH DASHMART 855-431-0459 CA,"On Chase, not claimed"
2025-02-03,DoorDash,41.0,Meals,DD *DOORDASH SOMTUMDER 855-431-0459 CA,"On Chase, not claimed"
2025-05-17,Uber,40.37,Travel,UBER *TRIP HELP.UBER.COM 800-5928996 CA,"On Chase, not claimed"
2025-07-14,,40.37,Meals,TST* TAIM - NOLITA NEW YORK NY,"On Chase, not claimed"
2025-05-02,,40.18,Meals,TST* SUPER DUPER - DOWNTO SAN FRANCISCO CA,"On Chase, not claimed"
2025-08-26,Lyft,39.99,Travel,LYFT *1 RIDE 08-24 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-02-10,,39.8,Meals,TST* CAFE MOGADOR WILLIAM BROOKLYN NY,"On Chase, not claimed"
2025-03-20,DoorDash,39.26,Meals,DD *DOORDASH DHHANDPUL 855-431-0459 CA,"On Chase, not claimed"
2025-04-20,,39.09,Meals,TST* ZEEK'S PIZZA - KIRKL BELLEVUE WA,"On Chase, not claimed"
2025-07-18,Uber,38.9,Travel,UBER *EATS HELP.UBER.COM CA,"On Chase, not claimed"
2025-05-07,DoorDash,38.83,Meals,DD *DOORDASH SOOTHRTHA 855-431-0459 CA,"On Chase, not claimed"
2025-08-06,Lyft,38.8,Travel,LYFT *3 RIDES 08-04 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-06-06,SQ *VERVE COFFEE UNIVERSI Palo Alto CA,38.32,Meals,SQ *VERVE COFFEE UNIVERSI Palo Alto CA,"On Chase, not claimed"
2025-01-26,THE,37.78,Meals,TST*THE REFUGE - SAN CAR San Carlos CA,"On Chase, not claimed"
2025-07-11,DoorDash,37.29,Meals,DD *DOORDASH SAMWOOJUN 855-431-0459 CA,"On Chase, not claimed"
2025-01-28,DoorDash,37.28,Meals,DD *DOORDASH ELSINALOE 855-431-0459 CA,"On Chase, not claimed"
2025-02-18,DoorDash,37.24,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-06-24,DoorDash,37.19,Meals,DD *DOORDASH MAMAN 855-431-0459 CA,"On Chase, not claimed"
2025-04-27,Amazon,36.95,Equipment,AMAZON MKTPL*2F30C0V33 Amzn.com/bill WA,"On Chase, not claimed"
2025-04-25,DoorDash,36.18,Meals,DD *DOORDASH LANRAMENI 855-431-0459 CA,"On Chase, not claimed"
2025-03-09,SPOT,35.89,Meals,TST*SPOT DESSERT BAR - L Long Island C NY,"On Chase, not claimed"
2025-07-09,Lyft,35.56,Travel,LYFT *2 RIDES 07-07 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-03-12,,35.5,Meals,TST* DOS TOROS - CARMINE NEW YORK NY,"On Chase, not claimed"
2025-08-15,Uber,35.23,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-01-28,DoorDash,35.1,Meals,DD *DOORDASH TABLAFORM 855-431-0459 CA,"On Chase, not claimed"
2025-05-24,Amazon.com*NZ7C555X0 Amzn.com/bill WA,34.95,Equipment,Amazon.com*NZ7C555X0 Amzn.com/bill WA,"On Chase, not claimed"
2025-01-21,,34.83,Meals,TST* RED HOT CHILLI PEPPE SAN CARLOS CA,"On Chase, not claimed"
2025-05-05,DoorDash,34.57,Meals,DD *DOORDASH LACORNETA 855-431-0459 CA,"On Chase, not claimed"
2025-08-15,Uber,34.1,Travel,UBER *TRIP HELP.UBER.COM CA,"On Chase, not claimed"
2025-06-14,DoorDash,34.02,Meals,DD *DOORDASH SIMPIZZA- 855-431-0459 CA,"On Chase, not claimed"
2025-06-27,,33.79,Meals,TST* DIG INN SEASONAL MAR NEW YORK NY,"On Chase, not claimed"
2025-09-10,Lyft,33.63,Travel,LYFT *1 RIDE 09-08 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-04-19,Lyft,33.54,Travel,LYFT *2 RIDES 04-17 HELP.LYFT.COM CA,"On Chase, not claimed"
2025-02-08,DoorDash,33.49,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-05-29,DoorDash,32.61,Meals,DD *DOORDASH NANXIANGS 855-431-0459 CA,"On Chase, not claimed"
2025-07-11,DoorDash,32.44,Meals,DD *DOORDASH DASHMART 855-431-0459 CA,"On Chase, not claimed"
2025-06-12,DoorDash,32.38,Meals,DD *DOORDASH TARGET 855-431-0459 CA,"On Chase, not claimed"
2025-08-29,LOS,32.1,Meals,TST*LOS TACOS NO. 1 FIDI Manhattan NY,"On Chase, not claimed"
2025-05-05,DoorDash,31.91,Meals,DD *DOORDASH MAMAN 855-431-0459 CA,"On Chase, not claimed"
2025-04-29,,31.5,Meals,TST* FLOUR & BRANCH SAN FRANCISCO CA,"On Chase, not claimed"
2025-03-16,DoorDash,31.2,Meals,DD *DOORDASH SIMPIZZA- 855-431-0459 CA,"On Chase, not claimed"
2025-07-03,DoorDash,31.2,Meals,DD *DOORDASH SIMPIZZA- 855-431-0459 CA,"On Chase, not claimed"
2025-07-16,DoorDash,31.2,Meals,DD *DOORDASH SIMPIZZA- 855-431-0459 CA,"On Chase, not claimed"
2025-07-21,DoorDash,31.16,Meals,DD *DOORDASH SERAFINA 855-431-0459 CA,"On Chase, not claimed"
2025-08-30,LOS,31.1,Meals,TST*LOS TACOS NO. 1 FIDI Manhattan NY,"On Chase, not claimed"
2025-02-19,,30.81,Meals,TST* DIG INN SEASONAL MAR NEW YORK NY,"On Chase, not claimed"
2025-05-01,DoorDash,30.8,Meals,DD *DOORDASH MADFORCHI 855-431-0459 CA,"On Chase, not claimed"
2025-11-08,SOFRA,30.71,Meals,TST*SOFRA - BRIGHTON ALL Allston MA,"On Chase, not claimed"
2025-03-04,Amazon.com*BA5AF5453 Amzn.com/bill WA,30.47,Equipment,Amazon.com*BA5AF5453 Amzn.com/bill WA,"On Chase, not claimed"
2025-02-01,DoorDash,30.36,Meals,DD *DOORDASH CUBANKITC 855-431-0459 CA,"On Chase, not claimed"
2025-11-01,SQSP* DOMAIN#207540582 SQUARESPACE.C NY,30.0,Meals,SQSP* DOMAIN#207540582 SQUARESPACE.C NY,"On Chase, not claimed"
2025-10-22,SPRING,29.94,Meals,TST*SPRING SHABU-SHABU B Brighton MA,"On Chase, not claimed"
2025-07-30,DoorDash,29.71,Meals,DD *DOORDASH THEHALALG 855-431-0459 CA,"On Chase, not claimed"
2025-11-05,PERILLAS,29.67,Meals,TST*PERILLAS - ALLSTON Boston MA,"On Chase, not claimed"
2025-05-08,COPPELIA,29.5,Meals,TST*COPPELIA New York NY,"On Chase, not claimed"
2025-03-21,DoorDash,29.35,Meals,DD *DOORDASH MIGHTYQUI 855-431-0459 CA,"On Chase, not claimed"
2025-04-03,SQ *STUMPTOWN COFFEE ROAS New York NY,29.26,Meals,SQ *STUMPTOWN COFFEE ROAS New York NY,"On Chase, not claimed"
2025-07-14,DoorDash,29.07,Meals,DD *DOORDASH DASHMART 855-431-0459 CA,"On Chase, not claimed"
2025-08-02,DoorDash,28.9,Meals,DD *DOORDASH DANANDJOH 855-431-0459 CA,"On Chase, not claimed"
2025-06-13,DoorDash,28.48,Meals,DD *DOORDASH NOONANOOD 855-431-0459 CA,"On Chase, not claimed"
2025-01-12,DoorDash,28.37,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-01-18,DoorDash,28.37,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-02-21,DoorDash,28.37,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-07-29,DoorDash,28.04,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-03-09,SQ *STUMPTOWN COFFEE ROAS New York NY,27.9,Meals,SQ *STUMPTOWN COFFEE ROAS New York NY,"On Chase, not claimed"
2025-03-13,DoorDash,27.82,Meals,DD *DOORDASH XIANFAMOU 855-431-0459 CA,"On Chase, not claimed"
2025-04-09,DoorDash,27.82,Meals,DD *DOORDASH BUSSTOPCA 855-431-0459 CA,"On Chase, not claimed"
2025-03-29,DoorDash,27.73,Meals,DD *DOORDASH SAMWOOJUN 855-431-0459 CA,"On Chase, not claimed"
2025-06-14,DoorDash,27.72,Meals,DD *DOORDASH SAMMYLCOF 855-431-0459 CA,"On Chase, not claimed"
2025-07-13,DoorDash,27.66,Meals,DD *DOORDASH SAMWOOJUN 855-431-0459 CA,"On Chase, not claimed"
2025-06-12,DoorDash,27.44,Meals,DD *DOORDASH HANDYNAST 855-431-0459 CA,"On Chase, not claimed"
2025-02-16,DoorDash,27.32,Meals,DD *DOORDASH DASHMART 855-431-0459 CA,"On Chase, not claimed"
2025-03-04,Amazon,27.27,Equipment,AMAZON MKTPL*F93ZG1753 Amzn.com/bill WA,"On Chase, not claimed"
2025-07-24,DoorDash,27.23,Meals,DD *DOORDASH DASHMART 855-431-0459 CA,"On Chase, not claimed"
2025-03-02,DoorDash,27.07,Meals,DD *DOORDASH SIMPIZZA- 855-431-0459 CA,"On Chase, not claimed"
2025-07-18,DoorDash,26.96,Meals,DD *DOORDASH GOPUFF 855-431-0459 CA,"On Chase, not claimed"
2025-07-15,,26.8,Meals,TST* DOS TOROS - CARMINE NEW YORK NY,"On Chase, not claimed"
2025-09-21,HAMBURGER,26.74,Meals,TST*HAMBURGER AMERICA New York NY,"On Chase, not claimed"
2025-07-07,DoorDash,26.62,Meals,DD *DOORDASH ROYALGREE 855-431-0459 CA,"On Chase, not claimed"
