date,card,merchant,description,amount,category,is_payment
2026-01-06,"Chase Sapphire","WAYMO 844-261-3753 CA","WAYMO 844-261-3753 CA",19.03,,0
2026-01-06,"Chase Sapphire","SQ *TAZZA D'AMORE CAFE San Francisco CA","SQ *TAZZA D'AMORE CAFE San Francisco CA",4.75,,0
2026-01-05,"Amex Delta","DELTA AIR LINES","DELTA AIR LINES",607.99,"",0
2026-01-05,"Chase Sapphire","HOTELTONIGHT*MARINES M 800-208-2949 CA","HOTELTONIGHT*MARINES M 800-208-2949 CA",588,,0
2026-01-05,"Amex Delta","DELTA AIR LINES","DELTA AIR LINES",403.3,"",0
2026-01-05,"Amex Delta","DELTA AIR LINES","DELTA AIR LINES",329.49,"",0
2026-01-05,"Chase Sapphire","UBER *TRIP HELP.UBER.COM CA","UBER *TRIP HELP.UBER.COM CA",94.33,,0
2026-01-05,"Chase Sapphire","DD *DOORDASHLEVAINBAKE 855-431-0459 CA","DD *DOORDASHLEVAINBAKE 855-431-0459 CA",78.36,,0
2026-01-05,"Chase Sapphire","TANG BAR SAN MATEO CA","TANG BAR SAN MATEO CA",52.24,,0
2026-01-05,"Chase Sapphire","TESLA 188-5183752 CA","TESLA 188-5183752 CA",38.52,,0
2026-01-05,"Chase Sapphire","UBER *TRIP HELP.UBER.COM CA","UBER *TRIP HELP.UBER.COM CA",31.98,,0
2026-01-05,"Chase Sapphire","DD *DOORDASH SOOTHRTHA 855-431-0459 CA","DD *DOORDASH SOOTHRTHA 855-431-0459 CA",26.84,,0
2026-01-05,"Chase Sapphire","WALGREENS #3296 SAN MATEO CA","WALGREENS #3296 SAN MATEO CA",12.05,,0
2026-01-05,"Chase Sapphire","TESLA 188-5183752 CA","TESLA 188-5183752 CA",8.51,,0
2026-01-05,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.1,,0
2026-01-05,"Chase Sapphire","MARINES MEMORIAL FOUNDATI SAN FRANCISCO CA","MARINES MEMORIAL FOUNDATI SAN FRANCISCO CA",5,,0
2026-01-05,"Chase Sapphire","PEET'S #10902 SAN MATEO CA","PEET'S #10902 SAN MATEO CA",4.2,,0
2026-01-05,"Chase Sapphire","CITIBIK*2 RIDES HELP.LYFT.COM CA","CITIBIK*2 RIDES HELP.LYFT.COM CA",1.91,,0
2026-01-04,"Chase Sapphire","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA",12.99,,0
2026-01-04,"Chase Sapphire","DD *DOORDASH LADYMCAKE 855-431-0459 CA","DD *DOORDASH LADYMCAKE 855-431-0459 CA",12.75,,0
2026-01-04,"Chase Sapphire","PAYPAL *UBER 866-576-1039 CA","PAYPAL *UBER 866-576-1039 CA",9.99,,0
2026-01-04,"Chase Sapphire","AMAZON MKTPL*DB5E36193 Amzn.com/bill WA","AMAZON MKTPL*DB5E36193 Amzn.com/bill WA",7.29,,0
2026-01-03,"Chase Sapphire","COMCAST / XFINITY 800-266-2278 CA","COMCAST / XFINITY 800-266-2278 CA",228.05,,0
2026-01-03,"Chase Sapphire","OPENAI *CHATGPT SUBSCR OPENAI.COM CA","OPENAI *CHATGPT SUBSCR OPENAI.COM CA",217.75,,0
2026-01-03,"Chase Sapphire","USETUSK.AI USETUSK.AI CA","USETUSK.AI USETUSK.AI CA",125,,0
2026-01-03,"Chase Sapphire","J CREW 800-562-0258 VA","J CREW 800-562-0258 VA",40.5,,0
2026-01-02,"Chase Sapphire","CVS/PHARMACY #01618 NEW YORK NY","CVS/PHARMACY #01618 NEW YORK NY",25.31,,0
2026-01-02,"Chase Sapphire","SQ *DAN AND JOHN'S WINGS New York NY","SQ *DAN AND JOHN'S WINGS New York NY",21.55,,0
2026-01-01,"Amex Delta","AUTOPAY PAYMENT - THANK YOU","AUTOPAY PAYMENT - THANK YOU",6781.27,"",1
2026-01-01,"Amex Delta","GOOGLE*CLOUD N9XR9F CC GOOGLE.COM","GOOGLE*CLOUD N9XR9F CC GOOGLE.COM",4672.97,Other-Miscellaneous,0
2026-01-01,"Chase Sapphire","WEGMANS ASTOR PLACE 156 NEW YORK NY","WEGMANS ASTOR PLACE 156 NEW YORK NY",101.64,,0
2026-01-01,"Chase Sapphire","DOORDASH*12/31-2 ORDER 855-431-0459 CA","DOORDASH*12/31-2 ORDER 855-431-0459 CA",57.61,,0
2026-01-01,"Chase Sapphire","Spotify USA 877-7781161 NY","Spotify USA 877-7781161 NY",19.99,,0
2026-01-01,"Chase Sapphire","GOOGLE *CLOUD BVPC5v g.co/helppay# CA","GOOGLE *CLOUD BVPC5v g.co/helppay# CA",2.31,,0
2025-12-31,"Amex Delta","GOOGLE*CLOUD 6RMZGN  G.CO HELPPAY#","GOOGLE*CLOUD 6RMZGN  G.CO HELPPAY#",10000,"Business Services-Internet Services",0
2025-12-31,"Chase Sapphire","AL-ANDALUS NEW YORK NY","AL-ANDALUS NEW YORK NY",142.75,,0
2025-12-31,"Chase Sapphire","LEMONADE INSURANCE LEMONADE.COM NY","LEMONADE INSURANCE LEMONADE.COM NY",88.25,,0
2025-12-30,"Chase Sapphire","WAREHOUSE WINE & SPIRITS NEW YORK NY","WAREHOUSE WINE & SPIRITS NEW YORK NY",40.27,,0
2025-12-30,"Chase Sapphire","DD *DOORDASH SOOTHRTHA 855-431-0459 CA","DD *DOORDASH SOOTHRTHA 855-431-0459 CA",25.76,,0
2025-12-30,"Chase Sapphire","WEGMANS ASTOR PLACE 156 NEW YORK NY","WEGMANS ASTOR PLACE 156 NEW YORK NY",17.46,,0
2025-12-30,"Chase Sapphire","BROOKLYN BAGEL (8TH ST) 212-4773070 NY","BROOKLYN BAGEL (8TH ST) 212-4773070 NY",9.62,,0
2025-12-29,"Chase Sapphire","CITIBIK*2 RIDES HELP.LYFT.COM CA","CITIBIK*2 RIDES HELP.LYFT.COM CA",4.09,,0
2025-12-28,"Chase Sapphire","FIVE GUYS NY 0261 QSR NEW YORK NY","FIVE GUYS NY 0261 QSR NEW YORK NY",25.1,,0
2025-12-28,"Chase Sapphire","SQ *BAGEL PUB WEST VILLAG NEW YORK NY","SQ *BAGEL PUB WEST VILLAG NEW YORK NY",8.23,,0
2025-12-27,"Chase Sapphire","PY *EAST VILLAGE 404-201-6612 NY","PY *EAST VILLAGE 404-201-6612 NY",280,,0
2025-12-27,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-27,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-26,"Chase Sapphire","REI #142 NEW YORK NEW YORK NY","REI #142 NEW YORK NEW YORK NY",45.45,,0
2025-12-26,"Chase Sapphire","DUANE READE #14260 NEW YORK NY","DUANE READE #14260 NEW YORK NY",8.7,,0
2025-12-26,"Chase Sapphire","OCULUS *Z9LSSB9DF2 650-5434800 CA","OCULUS *Z9LSSB9DF2 650-5434800 CA",8.7,,0
2025-12-26,"Chase Sapphire","PORTO RICO IMPORTING C MANHATTAN NY","PORTO RICO IMPORTING C MANHATTAN NY",5.46,,0
2025-12-26,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-25,"Chase Sapphire","Payment Thank You-Mobile","Payment Thank You-Mobile",25170.6,,1
2025-12-25,"Chase Sapphire","AIRPREMIA 0215663441","AIRPREMIA 0215663441",89.9,,0
2025-12-25,"Amex Delta","ELEVENLABS.IO       NEW YORK            NY","ELEVENLABS.IO       NEW YORK            NY",23.95,"Merchandise & Supplies-Computer Supplies",0
2025-12-25,"Chase Sapphire","SQ *787 COFFEE ROASTERS New York NY","SQ *787 COFFEE ROASTERS New York NY",16,,0
2025-12-24,"Chase Sapphire","Whole Foods CHE 10131 866-216-1072 DE","Whole Foods CHE 10131 866-216-1072 DE",117.51,,0
2025-12-24,"Chase Sapphire","TST*CAFE CHINA NEW New York NY","TST*CAFE CHINA NEW New York NY",73.46,,0
2025-12-24,"Chase Sapphire","LYFT *2 RIDES 12-22 HELP.LYFT.COM CA","LYFT *2 RIDES 12-22 HELP.LYFT.COM CA",32.34,,0
2025-12-24,"Chase Sapphire","SQ *CULTURE ESPRESSO New York NY","SQ *CULTURE ESPRESSO New York NY",19.93,,0
2025-12-24,"Chase Sapphire","MS SAINT LUKE NEW YORK NY","MS SAINT LUKE NEW YORK NY",15,,0
2025-12-24,"Chase Sapphire","APPLE.COM/US 800-676-2775 CA","APPLE.COM/US 800-676-2775 CA",10.88,,1
2025-12-24,"Chase Sapphire","Zipcar Monthly Plan 866-4947227 MA","Zipcar Monthly Plan 866-4947227 MA",9.8,,0
2025-12-24,"Chase Sapphire","DUANE READE #21354 NEW YORK NY","DUANE READE #21354 NEW YORK NY",3.99,,0
2025-12-24,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-24,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-23,"Chase Sapphire","WEGMANS ASTOR PLACE 156 NEW YORK NY","WEGMANS ASTOR PLACE 156 NEW YORK NY",145.16,,0
2025-12-23,"Chase Sapphire","DOORDASH*12/22-2 ORDER 855-431-0459 CA","DOORDASH*12/22-2 ORDER 855-431-0459 CA",57.16,,0
2025-12-23,"Chase Sapphire","UBER *TRIP HELP.UBER.COM CA","UBER *TRIP HELP.UBER.COM CA",47.8,,0
2025-12-23,"Chase Sapphire","SQ *SM?R New York NY","SQ *SM?R New York NY",34.62,,0
2025-12-23,"Chase Sapphire","HLU*HULUPLUS hulu.com/bill CA","HLU*HULUPLUS hulu.com/bill CA",18.99,,0
2025-12-23,"Chase Sapphire","BROOKLYN BAGEL (8TH ST) 212-4773070 NY","BROOKLYN BAGEL (8TH ST) 212-4773070 NY",8.62,,0
2025-12-23,"Chase Sapphire","LYFT *1 RIDE 12-21 HELP.LYFT.COM CA","LYFT *1 RIDE 12-21 HELP.LYFT.COM CA",4.12,,0
2025-12-22,"Chase Sapphire","AIRBNB * HMZCF2TZ8Y AIRBNB.COM CA","AIRBNB * HMZCF2TZ8Y AIRBNB.COM CA",1497.5,,0
2025-12-22,"Chase Sapphire","PY *EAST VILLAGE 404-201-6612 NY","PY *EAST VILLAGE 404-201-6612 NY",665,,0
2025-12-22,"Chase Sapphire","TASKRABBIT* RECEIPT WWW.TASKRABBI CA","TASKRABBIT* RECEIPT WWW.TASKRABBI CA",123.14,,0
2025-12-22,"Chase Sapphire","TRADER JOE S #539 NEW YORK NY","TRADER JOE S #539 NEW YORK NY",74.36,,0
2025-12-22,"Chase Sapphire","DD *DOORDASH TARGET 855-431-0459 CA","DD *DOORDASH TARGET 855-431-0459 CA",46.54,,0
2025-12-22,"Chase Sapphire","TST*TACKO - SAN FRANCISC San Francisco CA","TST*TACKO - SAN FRANCISC San Francisco CA",27.87,,0
2025-12-22,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",8.5,,0
2025-12-22,"Chase Sapphire","TST*SFO DOLORES PARK CAF San Francisco CA","TST*SFO DOLORES PARK CAF San Francisco CA",6.84,,0
2025-12-22,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.1,,0
2025-12-22,"Chase Sapphire","TST* GREGORYS COFFEE - GC JERSEY CITY NJ","TST* GREGORYS COFFEE - GC JERSEY CITY NJ",3.47,,0
2025-12-22,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-22,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-22,"Chase Sapphire","LYFT *2 RIDES 12-20 HELP.LYFT.COM CA","LYFT *2 RIDES 12-20 HELP.LYFT.COM CA",2.77,,0
2025-12-22,"Chase Sapphire","NYTIMES DISC* 800-698-4637 NY","NYTIMES DISC* 800-698-4637 NY",2.04,,0
2025-12-21,"Amex Delta","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA","CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA",217.75,"Merchandise & Supplies-Computer Supplies",0
2025-12-21,"Chase Sapphire","SP COMMONWEALTH RUN COMMONWEALTHR IL","SP COMMONWEALTH RUN COMMONWEALTHR IL",187,,0
2025-12-21,"Chase Sapphire","DOORDASH*12/20-2 ORDER 855-431-0459 CA","DOORDASH*12/20-2 ORDER 855-431-0459 CA",38.71,,0
2025-12-21,"Chase Sapphire","Zipcar Trip 175-76872808 MA","Zipcar Trip 175-76872808 MA",34.45,,0
2025-12-21,"Chase Sapphire","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA",27.84,,0
2025-12-21,"Chase Sapphire","TST*GOTTS ROADSIDE - FE San Francisco CA","TST*GOTTS ROADSIDE - FE San Francisco CA",27.45,,0
2025-12-21,"Chase Sapphire","SQ *ACME BREAD COMPANY FE San Francisco CA","SQ *ACME BREAD COMPANY FE San Francisco CA",21.29,,0
2025-12-21,"Chase Sapphire","UBER TRIP* TRIP WWW.UBER.COM CA","UBER TRIP* TRIP WWW.UBER.COM CA",6.01,,0
2025-12-21,"Chase Sapphire","SQ *SAINT FRANK COFFEE San Francisco CA","SQ *SAINT FRANK COFFEE San Francisco CA",5.89,,0
2025-12-21,"Chase Sapphire","TST*DELAH COFFEE - SANSO San Francisco CA","TST*DELAH COFFEE - SANSO San Francisco CA",4.95,,0
2025-12-21,"Chase Sapphire","PATH TAPP PAYGO CP NEW JERSEY NJ","PATH TAPP PAYGO CP NEW JERSEY NJ",3,,0
2025-12-21,"Chase Sapphire","PATH TAPP PAYGO CP NEW JERSEY NJ","PATH TAPP PAYGO CP NEW JERSEY NJ",3,,0
2025-12-21,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-21,"Chase Sapphire","LYFT *1 RIDE 12-19 HELP.LYFT.COM CA","LYFT *1 RIDE 12-19 HELP.LYFT.COM CA",1.46,,0
2025-12-20,"Amex Delta","ANTHROPIC           SAN FRANCISCO       CA","ANTHROPIC           SAN FRANCISCO       CA",1634.18,"Merchandise & Supplies-Computer Supplies",0
2025-12-20,"Chase Sapphire","SP NAADAM INC NAADAM.CO NY","SP NAADAM INC NAADAM.CO NY",395.88,,0
2025-12-20,"Chase Sapphire","CLASSPASS* MONTHLY CLASSPASS.COM MT","CLASSPASS* MONTHLY CLASSPASS.COM MT",93.01,,0
2025-12-20,"Chase Sapphire","DOORDASH*12/19-2 ORDER 855-431-0459 CA","DOORDASH*12/19-2 ORDER 855-431-0459 CA",54.77,,0
2025-12-20,"Chase Sapphire","CLIPPER SYSTEMS MOBILE #1 CONCORD CA","CLIPPER SYSTEMS MOBILE #1 CONCORD CA",50,,0
2025-12-20,"Chase Sapphire","TST*DOPPIO ZERO - SAN CA San Carlos CA","TST*DOPPIO ZERO - SAN CA San Carlos CA",30.05,,0
2025-12-20,"Chase Sapphire","Spectrum 855-707-7328 MO","Spectrum 855-707-7328 MO",29.99,,0
2025-12-20,"Amex Delta","AMC 9640 ONLINE*9640LEAWOOD             KS","AMC 9640 ONLINE*9640LEAWOOD             KS",27.99,"Entertainment-Theatrical Events",0
2025-12-20,"Chase Sapphire","CLIPPER SYSTEMS MOBILE #1 CONCORD CA","CLIPPER SYSTEMS MOBILE #1 CONCORD CA",20,,0
2025-12-20,"Chase Sapphire","WAYMO 844-261-3753 CA","WAYMO 844-261-3753 CA",13.76,,0
2025-12-20,"Chase Sapphire","LYFT *5 RIDES 12-18 HELP.LYFT.COM CA","LYFT *5 RIDES 12-18 HELP.LYFT.COM CA",13.13,,0
2025-12-20,"Chase Sapphire","WAYMO 844-261-3753 CA","WAYMO 844-261-3753 CA",9.94,,0
2025-12-20,"Chase Sapphire","PHILZ COFFEE PHILZCOFFEE.C CA","PHILZ COFFEE PHILZCOFFEE.C CA",6.1,,0
2025-12-20,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
2025-12-19,"Chase Sapphire","AIRPREMIA 0215663441","AIRPREMIA 0215663441",3275.63,,0
2025-12-19,"Amex Delta","HOTELCOM733309978440HOTELS.COM          WA","HOTELCOM733309978440HOTELS.COM          WA",431.94,"Travel-Travel Agencies",0
2025-12-19,"Chase Sapphire","DD *DOORDASH HUMMUSMED 855-431-0459 CA","DD *DOORDASH HUMMUSMED 855-431-0459 CA",155.52,,0
2025-12-19,"Chase Sapphire","NYTIMES* 800-698-4637 NY","NYTIMES* 800-698-4637 NY",28,,0
2025-12-19,"Chase Sapphire","JEFFREYS HAMBURGERS - 650-3488698 CA","JEFFREYS HAMBURGERS - 650-3488698 CA",24.44,,0
2025-12-19,"Chase Sapphire","PAYPAL *PEACOCKTVLL D6AA8 212-664-0138 NY","PAYPAL *PEACOCKTVLL D6AA8 212-664-0138 NY",10.99,,0
2025-12-19,"Chase Sapphire","BREEZY HILL ORCHARD STAATSBURG NY","BREEZY HILL ORCHARD STAATSBURG NY",8,,0
2025-12-19,"Chase Sapphire","SQ *TAZZA D'AMORE CAFE San Francisco CA","SQ *TAZZA D'AMORE CAFE San Francisco CA",4.75,,0
2025-12-19,"Chase Sapphire","SQ *BOB'S DONUTS San Francisco CA","SQ *BOB'S DONUTS San Francisco CA",4.5,,0
2025-12-19,"Chase Sapphire","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY",2.9,,0
